property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,ireo the corridors,sector 67a,1.85,9531.0,3,4,3,New Property,1941.0,1,0,1,0,0,1,High,Mid Floor
flat,signature global the millennia,sector 37d,0.6,9231.0,2,2,3,New Property,625.0,0,0,0,0,0,0,Medium,High Floor
flat,vatika the seven lamps,sector 82,0.81,6193.0,2,2,2,Relatively New,1176.0,0,0,0,0,0,1,High,High Floor
flat,tulip monsella,sector 53,5.6,19364.0,3,3,3+,Under Construction,2617.0,0,0,0,0,0,0,Medium,Low Floor
flat,m3m skywalk,sector 74,1.5,12500.0,2,2,3,Relatively New,1300.0,0,0,1,0,0,0,High,High Floor
flat,bptp terra,sector 37d,1.45,8007.0,3,3,3,Relatively New,1639.0,0,0,0,0,0,0,High,High Floor
flat,experion the heartsong,sector 108,1.65,8238.0,3,4,3,Moderately Old,1771.32,1,0,0,0,0,1,Medium,Mid Floor
flat,huda housing board society,sector 52,0.45,9740.0,1,1,0,Moderately Old,513.0,0,0,0,1,0,1,Medium,Low Floor
flat,shri balaji apartment,sector 12,0.35,4037.0,2,2,1,Moderately Old,737.0,0,0,0,0,0,0,Low,Low Floor
house,independent,sector 43,5.75,23663.0,4,4,2,Under Construction,2430.0,0,1,1,0,0,2,High,Mid Floor
flat,ss the leaf,sector 85,1.12,6452.0,2,2,3,Relatively New,1485.0,0,0,0,0,1,0,Medium,High Floor
flat,avl 36 gurgaon,sector 36,0.75,7500.0,2,2,2,Relatively New,856.0,0,0,0,0,0,0,Low,Mid Floor
flat,adani aangan galleria,sector 89,0.25,5000.0,1,1,1,New Property,430.0,0,0,0,0,0,0,Medium,High Floor
house,independent,sector 4,0.67,8557.0,3,2,1,Moderately Old,783.0,0,0,0,1,1,0,Low,Low Floor
flat,bestech park view residency,sector 2,0.56,8629.0,1,1,2,Moderately Old,723.0,0,0,0,0,0,0,Medium,High Floor
flat,aipl zen residences,sector 70a,1.75,10258.0,3,4,3+,Relatively New,1706.0,0,0,0,0,1,2,Medium,High Floor
house,independent,sector 14,4.15,18444.0,5,4,2,Old Property,2250.0,0,0,0,0,0,1,Medium,Low Floor
flat,m3m merlin,sector 67,3.4,14419.0,3,4,3,Relatively New,2134.0,0,1,0,0,0,1,High,High Floor
flat,dlf the ultima,sector 81,2.3,10937.0,3,3,3+,Relatively New,1617.0,1,1,0,1,1,2,Medium,High Floor
house,independent,sector 25,7.6,38756.0,9,9,3,Relatively New,1961.0,1,0,1,1,0,1,Medium,Mid Floor
flat,rof ananda,sector 95,0.32,5735.0,2,2,1,Relatively New,610.0,0,0,0,1,0,1,Medium,High Floor
flat,rof aalayas,sector 102,0.45,6000.0,1,1,2,Relatively New,750.0,0,0,0,0,0,0,Low,High Floor
house,independent,sector 56,2.99,20635.0,4,4,2,Moderately Old,1449.0,1,1,0,1,0,1,Medium,Low Floor
flat,ats tourmaline,sector 109,1.5,6977.0,3,4,3+,Relatively New,1797.0,0,1,0,0,0,0,Medium,Mid Floor
house,dlf south city 1,sector 41,2.65,18929.0,3,3,3,New Property,1400.0,0,1,0,0,0,1,Low,Mid Floor
house,bhim garh kheri,sector 3,1.5,7576.0,7,2,0,Moderately Old,1980.0,0,0,0,0,0,0,Low,Low Floor
flat,dlf the skycourt,sector 86,1.5,7895.0,3,3,1,Relatively New,1719.0,0,0,0,0,1,0,Medium,High Floor
flat,central park resorts,sector 48,9.3,24926.0,4,4,3+,Moderately Old,3831.0,1,1,1,1,0,1,Medium,High Floor
flat,ss the leaf,sector 83,1.19,7225.0,2,2,3,Relatively New,1630.0,0,0,0,0,0,0,Medium,Mid Floor
flat,signature global solera,sector 107,0.5,4762.0,3,2,2,Relatively New,850.0,0,0,0,0,1,0,Medium,Mid Floor
flat,hero homes,sector 104,1.4,15819.0,3,2,2,Under Construction,1120.0,0,0,0,0,0,0,Medium,Mid Floor
flat,godrej oasis,sector 88a,1.0,6897.0,2,2,3,Relatively New,1611.0,1,0,0,0,0,0,Medium,High Floor
flat,eldeco accolade,sohna road,1.3,7424.0,3,3,3+,Relatively New,1509.0,0,0,0,0,0,0,Medium,High Floor
flat,orris carnation residency,sector 85,0.9,6429.0,3,3,2,Relatively New,1402.0,0,0,0,0,0,0,High,High Floor
house,independent,sector 105,0.5,5556.0,2,2,0,Moderately Old,100.0,0,0,0,0,0,0,Low,Low Floor
flat,vatika gurgaon,sector 83,1.15,5808.0,3,3,2,Relatively New,1350.0,1,1,1,1,0,1,High,Mid Floor
flat,tulip violet,sector 69,1.36,8619.0,3,3,2,Relatively New,1428.0,0,0,0,1,0,1,Medium,High Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11667.0,2,2,3,Relatively New,1286.0,0,0,0,0,0,0,Medium,Low Floor
house,independent,sector 55,2.8,18667.0,4,4,0,Old Property,1500.0,0,0,0,0,0,0,Low,Low Floor
house,unitech espace,sector 50,10.45,32253.0,5,7,3+,Moderately Old,3240.0,1,1,0,1,1,1,High,Mid Floor
flat,pivotal devaan,sector 84,0.34,7039.0,2,2,1,Relatively New,537.0,0,0,1,0,0,1,Medium,Low Floor
flat,pivotal devaan apartments,sector 84,0.39,6500.0,2,2,0,Relatively New,549.0,0,0,0,0,0,0,Low,Mid Floor
house,independent,sector 4,1.1,11111.0,6,4,1,Moderately Old,990.0,0,0,0,0,0,0,Low,Low Floor
flat,gls arawali homes,sohna road,0.35,6076.0,2,2,2,New Property,521.0,0,0,0,0,0,0,Medium,High Floor
flat,tarc maceo,sector 91,1.75,11118.0,4,3,3+,Relatively New,2107.0,1,1,1,1,0,0,High,High Floor
flat,vatika city,sector 49,2.1,10417.0,3,3,3,Moderately Old,1604.25,0,0,0,1,0,1,High,High Floor
flat,central park resorts,sector 48,3.65,15240.0,3,3,3+,Relatively New,2395.0,0,0,0,0,1,1,High,High Floor
flat,ashiana mulberry,sohna road,0.95,6485.0,2,2,3+,New Property,1175.97,1,0,0,0,0,0,High,Mid Floor
flat,tulip violet,sector 69,1.29,8227.0,3,3,1,Relatively New,1419.0,0,0,0,1,0,1,Medium,High Floor
house,suncity avenue 76,sector 76,0.75,10067.0,2,2,2,New Property,745.0,0,0,0,0,0,0,Medium,High Floor
flat,dlf the primus,sector 82a,1.85,10283.0,3,3,3+,Relatively New,1668.0,0,0,0,0,0,1,Medium,Low Floor
flat,umang monsoon breeze,sector 78,0.7,5719.0,2,2,2,Moderately Old,1224.0,0,0,0,0,0,0,Low,Mid Floor
flat,rof ananda,sector 95,0.32,5829.0,2,2,1,Relatively New,610.0,0,0,0,1,0,1,Medium,High Floor
flat,the crew bos chs manesar,manesar,0.85,3696.0,3,3,2,Moderately Old,2556.0,0,0,0,0,0,0,Medium,Low Floor
flat,spaze privvy the address,sector 93,1.25,5700.0,4,4,3,Relatively New,2105.0,0,0,0,0,0,0,Low,High Floor
flat,"m m residency, krishna colony, gurgaon",sector 7,0.54,5889.0,2,2,1,Relatively New,1000.0,0,0,0,0,0,0,Medium,Mid Floor
flat,chd avenue,sector 71,0.79,6594.0,2,2,2,Relatively New,1084.0,0,0,0,0,1,0,Low,High Floor
house,independent,sector 25,10.0,37037.0,5,5,3+,Moderately Old,9500.0,0,1,0,1,0,2,Low,Mid Floor
flat,park royal apartment,sector 56,1.71,7600.0,3,3,3+,Moderately Old,2251.0,0,1,0,0,0,1,High,Mid Floor
flat,mahindra aura,sector 110,1.4,9655.0,3,3,3,Relatively New,1550.0,0,0,0,0,0,1,High,High Floor
flat,ireo victory valley,sector 67,3.65,13529.0,3,4,3+,Relatively New,2490.0,0,1,0,1,0,1,Medium,High Floor
flat,signature global solera,sector 107,0.6,8000.0,3,2,2,Relatively New,750.0,0,0,0,0,0,0,Medium,High Floor
flat,tulip violet,sector 69,1.44,9125.0,3,3,2,Relatively New,1381.0,0,0,0,1,0,0,High,Low Floor
flat,m3m capital,sector 113,2.37,11499.0,4,4,3+,Under Construction,2060.0,1,0,0,0,0,0,High,High Floor
flat,zara aavaas,sector 104,0.2,6645.0,1,2,2,New Property,334.0,0,0,0,0,0,0,Medium,Mid Floor
flat,godrej nature plus,sector 33,1.5,10197.0,2,2,3+,Under Construction,1539.0,0,0,0,0,0,0,High,Low Floor
flat,m3m capital,sector 113,1.83,13969.0,2,2,0,Relatively New,1310.0,0,0,0,0,0,0,Medium,High Floor
house,independent,sector 4,3.2,14222.0,3,3,2,Old Property,2250.0,0,0,0,0,0,0,Low,Low Floor
flat,breez global heights 88a,sector 88a,0.5,8375.0,3,2,2,Under Construction,663.0,0,0,0,0,0,0,Low,Low Floor
flat,south city 1 floors,sector 41,3.4,11724.0,4,4,3,Old Property,2900.0,0,0,0,0,0,0,Low,Low Floor
flat,adani m2k oyster grande,sector 102,4.55,10000.0,4,4,3+,Relatively New,4630.0,0,0,0,0,0,1,Medium,High Floor
flat,vatika city,sector 49,1.72,7818.0,3,3,2,Old Property,2444.0,0,0,0,0,0,1,High,Low Floor
flat,smart world orchard,sector 61,2.2,13497.0,3,3,2,Under Construction,1778.0,0,0,0,0,0,0,Medium,Low Floor
flat,vatika iris floors,sector 82,0.63,5590.0,2,2,3+,Relatively New,1026.0,1,0,0,0,0,0,High,Low Floor
flat,corona optus,sector 37,1.4,7035.0,3,3,3+,Relatively New,1890.0,0,1,0,0,0,0,High,Mid Floor
flat,unitech south park,sector 70,1.13,7001.0,3,3,2,Under Construction,1457.0,0,0,0,0,0,0,Medium,Low Floor
house,hero homes,sector 104,1.95,21196.0,3,5,3+,Moderately Old,920.0,0,0,0,0,0,0,Medium,Low Floor
flat,shree vardhman victoria,sector 70,1.75,8974.0,3,5,0,Relatively New,1950.0,0,0,0,0,0,0,Medium,Low Floor
flat,indiabulls centrum park,sector 103,2.45,8522.0,4,4,3,Relatively New,2602.0,1,1,1,1,0,0,Medium,High Floor
house,vatika signature villas,sector 82,4.7,21759.0,3,3,3+,New Property,2160.0,0,1,0,0,0,0,Low,Mid Floor
house,independent,sector 28,0.7,8102.0,4,2,0,Old Property,864.0,0,0,0,0,0,0,Low,Low Floor
flat,m3m soulitude,sector 89,1.3,8701.0,3,3,2,New Property,1179.0,0,0,0,0,1,0,Medium,Low Floor
house,international city by sobha phase 2,sector 109,6.5,12037.0,4,4,3+,New Property,5400.0,0,1,0,0,0,1,High,Low Floor
flat,signature global the millennia,sector 37d,0.55,9167.0,2,2,3,New Property,543.0,0,0,0,0,0,0,Medium,Mid Floor
flat,signature global park,sohna road,0.9,8036.0,3,2,2,Under Construction,1014.0,0,0,0,0,0,0,High,Low Floor
flat,m3m woodshire,sector 107,1.15,7497.0,2,2,3,Relatively New,1281.0,1,0,0,0,0,0,Low,Low Floor
