property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_category,floor_category
flat,imperia the esfera,sector 37,0.9,6272.0,3,3,3,Relatively New,1435.0,0,0,0,0,0,0,Medium,High Floor
flat,m3m merlin,sector 67,3.0,14656.0,3,3,3+,Relatively New,2047.0,0,0,1,0,0,1,High,Mid Floor
flat,gls arawali homes,sohna road,0.28,4308.0,2,2,2,New Property,588.0,0,0,0,0,0,0,Low,High Floor
flat,signature global park,sohna road,0.56,6813.0,2,2,3,New Property,913.0,0,0,0,0,0,0,High,Mid Floor
house,independent,sector 12,3.71,19818.0,3,3,1,Moderately Old,1872.0,0,0,0,1,0,0,Low,Mid Floor
flat,la vida by tata housing,sector 113,2.85,12855.0,3,3,3+,New Property,2006.0,0,1,0,0,0,0,Medium,High Floor
flat,corona optus,sector 37,1.25,8929.0,3,3,3,Relatively New,1563.0,1,0,0,0,0,0,Medium,Low Floor
flat,ats triumph,sector 104,2.0,8734.0,3,4,3+,Relatively New,2072.0,0,1,0,0,0,0,Medium,Mid Floor
flat,signature global solera,sector 107,0.35,6494.0,2,2,2,Relatively New,608.0,0,0,0,0,0,0,Medium,High Floor
flat,ats kocoon,sector 109,2.15,10263.0,3,4,3,Relatively New,1896.0,0,1,0,0,0,0,High,High Floor
flat,emaar mgf palm hills,sector 77,1.64,8410.0,4,3,3,Relatively New,1765.0,0,1,0,0,0,0,High,High Floor
house,independent,sector 4,0.85,7522.0,3,3,0,Moderately Old,1130.0,0,0,0,0,0,0,Low,Low Floor
flat,malibu towne,sector 47,2.4,10000.0,3,3,0,Moderately Old,2667.0,0,0,0,0,0,1,Low,Low Floor
house,independent,sector 13,4.5,9091.0,4,5,2,Old Property,4950.0,0,0,0,0,0,0,Low,Low Floor
flat,sidhartha ncr one phase,sector 95,0.43,3152.0,2,2,2,Relatively New,1300.0,0,0,0,0,0,0,High,High Floor
flat,emaar gurgaon greens,sector 102,1.38,13490.0,3,3,3,Relatively New,1315.0,0,1,0,0,0,1,High,High Floor
house,dlf city plots phase 2,sector 25,15.5,34307.0,5,6,3+,Moderately Old,4518.0,1,1,1,1,0,0,High,Mid Floor
flat,chd avenue,sector 71,1.35,5745.0,4,4,3,Moderately Old,2127.0,0,1,0,0,0,0,Low,High Floor
flat,emaar mgf emerald floors premier,sector 65,3.0,15190.0,4,4,3+,Relatively New,1975.0,0,1,0,0,0,0,High,Low Floor
flat,breez global hill view,sohna road,0.32,5776.0,2,2,2,Relatively New,616.0,0,0,0,0,0,1,Low,High Floor
flat,m3m woodshire,sector 107,0.75,5490.0,2,2,3+,Relatively New,1201.0,0,0,0,1,0,0,High,High Floor
flat,signature global solera,sector 107,0.36,6569.0,2,2,1,Relatively New,496.0,0,0,0,0,0,0,Low,High Floor
flat,m3m soulitude,sector 89,1.0,9066.0,2,2,2,New Property,1226.0,1,0,0,0,0,0,Medium,Low Floor
flat,breez global hill view,sohna road,0.35,5319.0,2,2,2,New Property,658.0,0,0,0,0,0,0,Low,High Floor
flat,vipul world floors,sector 48,4.3,13871.0,4,5,3+,New Property,3444.0,1,1,0,1,0,0,High,Mid Floor
flat,ireo the corridors,sector 67a,1.7,9844.0,3,3,2,New Property,1346.0,0,1,0,0,1,1,Medium,High Floor
flat,tulip violet,sector 69,1.36,8843.0,3,3,1,Relatively New,1392.0,0,0,0,1,0,0,Medium,High Floor
house,ansal sushant lok 2,sector 56,3.4,22222.0,6,6,3+,Moderately Old,1530.0,0,0,0,0,0,1,Low,Low Floor
house,independent,sector 67,3.0,11905.0,4,4,0,Moderately Old,2800.0,0,0,0,0,0,0,Low,Mid Floor
house,independent,sector 43,14.0,39886.0,9,9,3+,Moderately Old,3510.0,0,1,0,0,0,0,Low,Mid Floor
flat,sobha city,sector 108,3.95,16859.0,3,5,2,New Property,2343.0,0,1,0,0,0,0,High,High Floor
house,dlf the grove,sector 54,5.7,23457.0,4,4,0,Moderately Old,2430.0,0,0,0,0,0,0,Medium,Low Floor
flat,dlf new town heights,sector 90,1.65,5684.0,4,4,3+,Moderately Old,2468.0,0,0,0,0,0,0,High,High Floor
flat,ansals duplex flat,sector 2,0.95,7308.0,2,3,2,Old Property,1444.0,1,0,0,0,0,1,Low,Low Floor
flat,dlf new town heights,sector 90,1.25,6477.0,3,3,3+,Relatively New,1929.0,0,1,0,1,0,0,High,High Floor
flat,indiabulls enigma,sector 110,3.79,9896.0,5,5,3,Relatively New,3466.0,0,1,0,0,1,0,High,Mid Floor
house,my home,sector 110,0.34,12593.0,2,2,2,Moderately Old,270.0,0,0,0,0,0,0,Low,Mid Floor
house,independent,sector 24,3.5,32407.0,5,4,3,Old Property,1080.0,0,0,0,0,0,0,Low,Mid Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.75,9449.0,3,3,3,Relatively New,1465.0,1,1,0,1,1,0,Medium,High Floor
house,bptp pedestal,sector 70a,0.9,7582.0,2,2,3+,New Property,1319.0,0,1,0,0,1,0,High,Mid Floor
flat,smart world orchard,sector 61,1.58,13739.0,2,2,2,New Property,1278.0,1,0,0,0,0,0,Low,Mid Floor
flat,gls avenue 51,sector 92,0.5,7812.0,3,3,1,Relatively New,579.0,0,0,0,0,0,0,Low,Low Floor
house,independent,sector 48,5.5,23504.0,4,4,2,Relatively New,2340.0,0,1,0,0,0,1,Low,Low Floor
flat,lotus homz,sector 111,0.36,8889.0,1,1,1,Relatively New,450.0,0,0,0,0,0,0,Medium,High Floor
flat,tulip violet,sector 69,2.0,9583.0,4,4,2,Relatively New,1889.0,0,0,0,0,0,0,High,Low Floor
house,ireo victory valley,sector 67,8.0,22222.0,6,7,3+,Moderately Old,3600.0,1,1,1,1,0,1,High,Mid Floor
flat,malibu towers,sector 47,2.45,10699.0,3,4,2,Old Property,2544.0,1,0,0,0,0,1,Medium,Low Floor
flat,tulip violet,sector 69,2.05,9951.0,4,4,2,Relatively New,1889.0,0,0,0,0,0,0,High,Low Floor
flat,ats triumph,sector 104,4.45,6846.0,4,5,3+,Relatively New,7222.0,0,0,0,0,0,0,High,High Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.42,10380.0,2,2,3,Relatively New,1368.0,0,0,0,0,0,0,Low,High Floor
flat,la vida by tata housing,sector 113,2.4,10825.0,3,4,3+,Relatively New,1940.0,0,1,0,0,0,0,Medium,Mid Floor
house,independent,sector 21,0.6,6173.0,8,3,2,Old Property,972.0,0,0,0,0,0,0,Low,Mid Floor
house,independent,sector 26,17.0,37627.0,5,5,3+,Relatively New,4518.0,1,1,1,1,0,1,High,Low Floor
flat,sobha city,sector 108,2.5,14611.0,3,3,2,New Property,1480.0,0,0,0,0,0,0,High,High Floor
flat,ardee city,sector 52,1.5,9146.0,4,4,3,Old Property,1484.0,0,0,0,0,0,0,Medium,Mid Floor
flat,umang monsoon breeze,sector 78,1.15,5285.0,3,3,3,Moderately Old,1969.0,0,1,0,0,1,0,Low,High Floor
flat,signature global solera,sector 107,0.28,5833.0,2,2,2,Relatively New,543.0,0,0,0,0,0,0,Medium,Low Floor
flat,signature global park 4,sector 36,0.85,11333.0,3,2,3,New Property,833.0,0,0,0,0,0,0,Low,Low Floor
flat,dlf the ultima,sector 81,3.45,12357.0,4,4,3+,Moderately Old,2527.0,0,1,0,0,0,0,Medium,High Floor
flat,tata primanti,sector 72,4.25,13077.0,4,4,3+,Relatively New,2941.0,0,1,0,0,0,1,High,Low Floor
flat,smart world gems,sector 89,1.2,8433.0,3,3,2,New Property,1423.0,0,0,0,0,0,0,Medium,Low Floor
flat,signature global grand iva,sector 103,0.5,6250.0,2,2,2,Relatively New,698.0,0,0,0,0,0,0,Low,High Floor
flat,godrej oasis,sector 88a,1.45,8367.0,2,2,3+,Relatively New,133.0,1,0,0,0,0,2,Medium,High Floor
flat,emaar mgf the palm drive,sector 66,2.8,14359.0,3,3,2,New Property,1950.0,1,1,0,1,0,2,Medium,High Floor
house,independent,sector 23,2.8,17983.0,5,5,3+,Old Property,1557.0,0,0,0,1,0,1,Medium,Low Floor
house,international city by sobha phase 1,sector 109,6.75,10838.0,4,4,3+,New Property,6228.0,0,1,0,1,0,0,High,Low Floor
house,independent,sector 7,1.15,8519.0,5,3,2,Old Property,1350.0,0,0,0,1,0,0,Low,Low Floor
flat,signature global rosellia,sector 95,0.45,8755.0,2,2,2,New Property,571.0,0,0,0,0,0,0,Low,High Floor
flat,dlf new town heights,sector 91,1.75,7403.0,4,4,3+,Relatively New,2139.0,0,1,0,1,0,0,High,High Floor
flat,vatika gurgaon,sector 83,1.1,6162.0,3,3,3+,Relatively New,1600.0,0,0,0,0,0,1,High,Mid Floor
flat,pareena mi casa,sector 68,1.7,8504.0,4,4,3,New Property,1809.0,0,0,0,0,0,0,Medium,Low Floor
flat,raheja the vedaanta floors,sector 108,0.7,4522.0,2,2,3,Moderately Old,1720.0,0,0,0,0,0,1,Low,Low Floor
flat,bestech park view residency,sector 2,1.51,7869.0,3,4,3+,Moderately Old,1738.0,0,1,0,0,0,1,Medium,High Floor
flat,pyramid urban homes 2,sector 86,0.44,7321.0,2,2,2,Relatively New,668.0,0,0,0,0,0,1,Medium,High Floor
flat,adani m2k oyster grande,sector 102,2.35,8468.0,3,3,3,Relatively New,2351.0,1,1,0,0,0,1,High,High Floor
flat,godrej summit,sector 104,1.75,7530.0,4,5,3+,New Property,2582.0,0,1,0,0,0,0,Medium,Low Floor
flat,tulip violet,sector 69,1.75,8883.0,4,4,1,Relatively New,1783.0,0,0,0,0,0,0,Medium,High Floor
flat,ansal heights,sector 92,0.6,4545.0,2,2,3,Under Construction,1195.0,0,0,0,0,1,0,Low,High Floor
flat,guru gram haryana cghs,sector 56,1.38,7225.0,3,3,3,Moderately Old,1910.0,1,0,0,0,0,1,High,Mid Floor
flat,shree vardhman flora,sector 90,0.9,4615.0,3,4,3,Relatively New,1765.0,0,1,0,0,0,0,High,Mid Floor
house,independent,sector 26,4.45,35178.0,4,4,3,Old Property,1265.0,0,0,0,0,0,0,Low,Mid Floor
house,independent,sector 31,3.25,22429.0,4,4,3+,Moderately Old,1449.0,1,1,1,1,0,1,Low,Mid Floor
flat,supertech basera,sector 79,0.36,7643.0,2,2,1,New Property,546.0,0,0,0,0,0,0,Medium,Mid Floor
flat,dlf the belaire,sector 54,7.0,23333.0,4,6,3+,Moderately Old,2715.0,0,1,1,1,0,1,High,High Floor
flat,emaar palm gardens,sector 83,1.4,9675.0,3,3,3,Relatively New,1582.0,0,1,0,0,0,2,Medium,High Floor
flat,the close north,sector 50,2.35,11228.0,3,3,3,Moderately Old,2000.0,0,0,1,0,0,1,High,High Floor
flat,ss the leaf,sector 85,2.15,10925.0,4,5,3+,Relatively New,2366.0,0,1,0,0,0,0,High,High Floor
flat,sobha city,sector 108,2.95,14728.0,3,4,2,Relatively New,2003.0,0,0,0,0,0,0,Medium,High Floor
flat,godrej habitat,sector 3,1.1,10407.0,2,2,2,Under Construction,956.0,0,0,0,0,0,0,Medium,High Floor
house,independent,sector 47,4.3,29312.0,6,4,2,Moderately Old,1467.0,0,0,0,0,1,0,Low,Low Floor
flat,umang monsoon breeze,sector 78,1.25,5000.0,4,4,3,Relatively New,2300.0,0,1,0,1,1,0,Medium,Low Floor
flat,raheja revanta,sector 78,1.2,10017.0,1,2,2,Under Construction,823.0,0,0,0,0,0,0,Medium,High Floor
house,independent,sector 105,9.9,49500.0,2,2,2,Moderately Old,2000.0,0,0,0,0,0,0,Low,Mid Floor
flat,la vida by tata housing,sector 113,3.35,16750.0,3,4,3+,New Property,2200.0,1,1,0,0,0,0,High,High Floor
flat,bptp astaire gardens,sector 70a,1.8,9351.0,3,3,3,Relatively New,1925.0,1,0,0,0,0,0,High,Mid Floor
house,nirvana cedar crest,sector 50,7.1,32870.0,5,4,3,Moderately Old,2160.0,1,0,1,1,0,1,High,Low Floor
flat,supertech araville,sector 79,0.71,5521.0,2,2,0,Under Construction,1295.0,0,0,0,0,0,0,Low,High Floor
flat,ss almeria,sector 84,1.48,7400.0,3,3,2,New Property,1624.0,0,1,1,0,0,1,High,Low Floor
flat,krrish florence estate,sector 70,1.25,6702.0,3,3,3,Under Construction,1688.0,0,0,0,0,0,0,Medium,High Floor
flat,ireo victory valley,sector 67,2.87,11904.0,3,3,3+,Relatively New,2095.0,0,1,0,0,0,1,High,High Floor
flat,smart world orchard,sector 61,2.2,13497.0,3,3,2,Under Construction,1811.0,0,0,0,0,0,0,Low,Mid Floor
flat,ats kocoon,sector 109,1.65,10645.0,3,3,3,Relatively New,1650.0,0,0,1,0,0,1,High,High Floor
flat,emaar palm gardens,sector 83,1.4,8140.0,3,3,3,Relatively New,1387.0,1,1,1,1,0,1,High,Low Floor
flat,umang winter hills,sector 77,1.4,6341.0,3,3,3,Relatively New,1735.0,0,0,0,0,0,0,Low,High Floor
house,ansal sushant lok plots,sector 43,5.8,29974.0,6,6,3,Relatively New,1935.0,0,1,0,0,1,1,Medium,Low Floor
flat,tata gurgaon gateway,sector 113,3.21,11823.0,3,3,3,New Property,2281.0,0,0,0,0,0,0,Medium,High Floor
house,independent,sector 3,0.9,10000.0,3,4,3,Moderately Old,3500.0,0,0,0,0,1,1,Medium,Mid Floor
house,tata primanti,sector 72,8.5,13492.0,5,6,3+,Relatively New,6300.0,1,1,1,1,0,1,High,High Floor
flat,sapphire eighty three,sector 83,0.4,8547.0,1,1,1,Relatively New,520.0,0,0,0,0,0,2,Medium,High Floor
flat,ireo victory valley,sector 67,2.95,12236.0,3,3,3,Relatively New,2150.0,0,1,0,0,0,1,High,High Floor
flat,siddhartha apartment,sector 95,1.1,4327.0,4,3,3,Relatively New,2824.0,0,1,0,0,1,0,Low,High Floor
flat,ild greens,sector 37,1.0,4724.0,3,3,3,Under Construction,1629.0,0,0,0,0,0,0,Medium,Mid Floor
flat,vatika the seven lamps,sector 82,1.0,5924.0,2,2,2,Relatively New,1299.0,1,0,0,0,0,1,High,High Floor
flat,green campus chs,manesar,0.92,4023.0,3,3,3+,Moderately Old,1924.0,0,1,0,0,0,0,Low,High Floor
flat,ramsons kshitij,sector 95,0.45,4592.0,2,2,1,Relatively New,887.0,1,0,0,0,0,0,High,Low Floor
flat,shree vardhman flora,sector 90,1.25,4854.0,4,5,2,Relatively New,2330.0,1,1,0,0,0,0,High,High Floor
flat,emaar mgf emerald floors premier,sector 65,2.35,14242.0,3,3,3,Relatively New,1493.0,1,1,0,0,0,1,High,Low Floor
flat,tulip violet,sector 69,1.4,9103.0,3,3,1,Relatively New,1392.0,0,0,0,0,0,1,High,High Floor
flat,sidhartha ncr one,sector 95,0.55,5556.0,2,2,3,New Property,990.0,0,0,0,0,0,0,Low,High Floor
house,independent,sector 105,0.74,7400.0,3,3,0,Moderately Old,1000.0,0,0,0,0,0,0,Low,Low Floor
flat,dlf the crest,sector 54,11.0,35223.0,4,6,3,Relatively New,2826.0,0,1,0,0,0,2,High,High Floor
house,independent,sector 39,1.8,21871.0,1,1,2,Relatively New,800.0,0,0,0,0,0,0,Low,Mid Floor
flat,sare crescent parc,sector 92,1.0,5128.0,4,3,2,Relatively New,2167.0,0,0,0,0,0,0,Medium,Low Floor
flat,shree vardhman flora,sector 90,0.65,5000.0,2,2,2,Old Property,1176.0,1,0,0,0,0,0,High,High Floor
flat,godrej,sector 79,1.3,8270.0,2,2,3,New Property,1423.0,1,0,0,0,0,0,Medium,Mid Floor
flat,indiabulls enigma,sector 110,3.49,10265.0,4,5,3,Relatively New,3077.0,0,1,0,0,0,0,High,High Floor
house,uppal southend,sector 49,6.75,32328.0,4,4,3,Relatively New,2088.0,0,1,0,0,0,1,Low,Mid Floor
flat,shapoorji pallonji joyville gurugram,sector 102,1.05,11475.0,2,2,2,Under Construction,1017.0,0,0,0,0,0,0,Medium,Low Floor
flat,dlf regency park,sector 28,2.26,13697.0,3,3,2,Old Property,1700.0,0,1,0,0,0,0,High,High Floor
flat,sobha smriti apartments,sector 56,0.5,8333.0,1,1,2,Old Property,667.0,0,0,0,0,0,0,Low,Mid Floor
flat,smart world orchard,sector 61,2.54,15497.0,3,3,3,Under Construction,1639.0,0,0,1,0,0,0,Low,Low Floor
flat,godrej,sector 79,2.0,8475.0,3,4,3+,Relatively New,1963.0,0,1,0,0,0,0,High,High Floor
flat,shree vardhman flora,sector 90,0.95,6333.0,3,3,3,Relatively New,1667.0,0,1,0,0,0,0,High,High Floor
flat,godrej,sector 79,1.12,7147.0,2,2,3,Relatively New,1325.0,1,0,0,0,0,0,Medium,High Floor
flat,bestech park view residency,sector 2,1.01,7138.0,2,2,3,Moderately Old,1281.0,0,0,0,0,0,0,High,Low Floor
flat,puri emerald bay,sector 104,2.3,9388.0,3,4,3+,Moderately Old,2217.0,0,1,0,0,0,0,High,High Floor
flat,ss hibiscus,sector 50,6.0,12272.0,4,3,3,Moderately Old,3982.0,0,1,0,0,0,0,Low,Mid Floor
house,emaar mgf marbella,sector 66,12.0,37037.0,5,5,3+,New Property,3240.0,0,1,1,1,0,1,High,Mid Floor
flat,sare crescent parc,sector 92,0.92,4855.0,4,5,3+,Moderately Old,1895.0,0,0,0,0,0,1,High,High Floor
flat,m3m capital,sector 113,3.25,14143.0,4,4,3+,Under Construction,2553.0,1,1,0,1,0,0,High,High Floor
flat,dlf regal gardens,sector 90,1.76,7946.0,4,4,3+,Relatively New,2020.0,0,0,0,0,0,1,High,High Floor
flat,tulip violet,sector 69,1.75,8706.0,4,4,2,Relatively New,1819.0,0,0,0,0,0,1,High,High Floor
house,independent,sector 43,5.25,27132.0,4,4,2,Old Property,1935.0,1,1,0,0,0,1,Medium,Low Floor
house,independent,sector 43,2.5,2885.0,7,7,3,Relatively New,963.0,0,0,0,0,1,2,Low,Mid Floor
flat,zara aavaas,sector 104,0.4,7030.0,2,2,1,Relatively New,515.0,0,0,0,0,0,0,Medium,High Floor
flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10383.0,2,2,2,Relatively New,915.0,0,0,0,0,0,0,Low,High Floor
flat,bptp astaire gardens,sector 70a,1.7,8947.0,4,3,3,Relatively New,2111.0,0,0,0,0,0,1,Medium,Low Floor
house,independent,sector 4,0.47,10609.0,2,2,1,New Property,50.0,1,0,0,0,0,1,Medium,Low Floor
flat,paras dews,sector 106,0.95,6859.0,2,2,3+,Relatively New,940.0,0,0,0,0,0,0,Medium,Low Floor
flat,tulip violet,sector 69,1.37,8908.0,3,3,1,Relatively New,1392.0,0,0,0,0,0,0,High,High Floor
flat,breez global hill view,sohna road,0.35,6318.0,2,2,2,New Property,616.0,0,0,0,0,0,0,Medium,High Floor
flat,dlf the primus,sector 82a,1.8,13846.0,3,3,3+,Relatively New,1545.0,0,1,0,0,0,2,High,High Floor
house,sneh vihar,sohna road,1.35,10000.0,5,5,3+,Relatively New,1350.0,0,0,0,0,0,0,Low,Mid Floor
flat,the close north,sector 50,2.51,11992.0,3,3,3,Moderately Old,2093.0,0,0,1,1,0,1,High,High Floor
flat,vidya apartment,sector 5,0.22,4207.0,2,2,1,Relatively New,570.0,0,0,0,0,1,2,Medium,Low Floor
flat,m3m skywalk,sector 74,2.45,12141.0,3,3,3+,Relatively New,1800.0,1,0,0,0,0,0,High,High Floor
flat,tulip violet,sector 69,1.2,10909.0,2,3,0,Relatively New,1100.0,0,0,0,0,0,0,Medium,Low Floor
flat,ansal heights 86,sector 86,1.25,7396.0,3,2,1,New Property,1529.0,0,0,0,0,0,0,High,Low Floor
house,independent,sector 46,2.2,24202.0,3,3,2,Old Property,909.0,0,0,1,0,0,1,Medium,Mid Floor
flat,dlf regency park,sector 28,1.91,16609.0,2,2,2,New Property,1278.0,0,0,0,0,0,2,High,High Floor
flat,eldeco accolade,sohna road,0.95,6543.0,2,2,3+,New Property,1129.0,1,0,0,0,0,1,Medium,High Floor
flat,smart world gems,sector 89,0.88,7978.0,2,2,0,New Property,1103.0,0,0,0,0,0,0,Medium,Low Floor
house,vipul tatvam villa,sector 48,7.69,24069.0,4,5,3,Moderately Old,3195.0,1,1,1,1,0,1,High,Low Floor
flat,umang monsoon breeze,sector 78,1.1,5055.0,3,3,3+,Old Property,2176.0,0,1,0,0,0,0,Medium,High Floor
house,independent,sector 13,0.9,11465.0,5,4,3,Moderately Old,785.0,1,1,0,1,1,0,Low,Mid Floor
flat,tulip violet,sector 69,1.32,8413.0,3,3,1,Relatively New,1419.0,0,0,0,1,0,1,Medium,High Floor
flat,shree vardhman victoria,sector 70,1.9,9744.0,3,3,3,New Property,1765.0,0,1,1,1,1,0,Medium,High Floor
flat,conscient elevate,sector 59,4.25,18519.0,3,4,3,Under Construction,2077.0,0,0,0,0,0,0,Low,Mid Floor
house,independent,sector 26,4.5,33333.0,5,5,3+,Old Property,1350.0,0,0,0,0,0,0,Low,Low Floor
flat,central park flower valley,sohna road,1.2,6742.0,3,3,0,Relatively New,1780.0,0,0,0,0,0,0,Medium,High Floor
flat,dlf the ultima,sector 81,2.2,11190.0,3,4,3+,Relatively New,1900.0,0,1,0,0,0,2,High,High Floor
house,eros rosewood city,sector 49,4.05,20769.0,3,3,3,Moderately Old,2000.0,0,1,1,0,0,0,Medium,Low Floor
house,independent,sector 55,3.1,20026.0,5,4,3+,Moderately Old,1548.0,0,1,1,0,0,1,Medium,Low Floor
flat,m3m skywalk,sector 74,1.55,13790.0,2,2,3+,Relatively New,1300.0,0,0,0,0,1,0,High,High Floor
flat,nbcc heights,sector 89,1.5,7059.0,3,3,3,Relatively New,1923.0,1,1,0,0,0,0,High,High Floor
house,not applicable,sector 4,0.65,13000.0,2,1,1,Moderately Old,500.0,0,0,0,0,0,0,Low,Mid Floor
flat,godrej oasis,sector 88a,1.5,8108.0,3,3,3+,New Property,1674.0,0,0,0,0,0,0,Medium,High Floor
flat,unitech the residences,sector 33,1.1,9910.0,2,2,3,Moderately Old,1100.0,0,0,0,0,0,1,Medium,High Floor
house,international city by sobha phase 1,sector 109,5.85,26423.0,4,5,3+,Relatively New,2214.0,0,1,0,0,0,1,Medium,Low Floor
flat,mapsko casa bella,sector 82,1.75,6903.0,4,5,3+,Relatively New,2535.0,0,0,0,0,0,0,Medium,Low Floor
house,independent,sector 28,1.39,11583.0,2,2,1,Old Property,1450.0,0,0,1,0,0,0,Medium,Mid Floor
flat,sahara grace,sector 28,5.5,14612.0,4,5,3+,Moderately Old,3406.0,0,1,0,0,1,1,Low,Mid Floor
flat,emaar mgf the palm drive,sector 66,3.2,17778.0,3,3,3,Relatively New,1800.0,1,1,1,1,0,1,High,High Floor
flat,tulip orange,sector 70,1.0,10309.0,3,2,2,Moderately Old,1078.0,0,0,0,0,0,0,Medium,Mid Floor
house,independent,sector 47,5.15,26615.0,9,9,3+,Relatively New,1935.0,0,0,1,0,0,1,Medium,Mid Floor
flat,bestech park view ananda,sector 81,0.88,8044.0,2,2,3,Relatively New,1223.0,1,0,0,0,0,1,High,High Floor
flat,sobha city,sector 108,2.9,14478.0,3,4,2,Relatively New,2003.0,0,0,0,0,0,0,High,High Floor
flat,sare green parc 2,sector 92,0.75,4744.0,3,3,3,Relatively New,1415.0,0,0,0,0,1,1,Medium,Low Floor
house,independent,sector 13,0.45,4808.0,1,1,0,Old Property,936.0,0,0,0,0,0,0,Low,Low Floor
flat,godrej icon,sector 88a,1.62,10019.0,3,2,3+,Relatively New,1463.0,1,0,0,0,0,2,Medium,High Floor
house,unitech espace,sector 50,11.5,35494.0,5,6,0,Moderately Old,3240.0,0,0,0,0,0,0,Low,Low Floor
house,independent,sector 57,3.6,20833.0,4,4,2,Old Property,1728.0,1,1,1,1,0,0,High,Low Floor
house,independent,sector 46,3.6,24845.0,5,5,3+,Moderately Old,1449.0,0,1,0,0,0,1,Medium,Mid Floor
flat,m3m heights,sector 65,2.01,13499.0,2,2,3,New Property,1482.0,1,0,0,0,0,0,Medium,High Floor
flat,gls avenue 51,sector 92,0.21,6954.0,1,1,1,Relatively New,336.0,0,0,0,0,0,0,Medium,Low Floor
flat,ireo skyon,sector 60,2.05,15185.0,2,3,2,Relatively New,1520.0,0,0,1,0,0,1,High,Low Floor
flat,smriti apartment,sector 56,0.45,7500.0,1,1,2,Old Property,543.0,0,0,0,0,0,0,Medium,Mid Floor
flat,ramprastha the edge towers,sector 37d,0.75,5319.0,2,2,3,Moderately Old,1410.0,0,0,0,0,0,0,Medium,High Floor
flat,m3m golfestate,sector 65,6.15,18287.0,3,3,3,Moderately Old,3027.0,1,1,0,0,0,1,Medium,High Floor
flat,smart world gems,sector 89,1.16,8152.0,3,3,2,Under Construction,1581.0,1,0,0,0,0,0,Medium,Mid Floor
flat,godrej,sector 79,2.03,9046.0,3,4,3+,Relatively New,2031.0,0,1,0,0,0,0,High,High Floor
flat,corona optus,sector 37,1.43,7186.0,3,3,3+,Relatively New,1845.0,1,1,0,0,1,0,Medium,Low Floor
flat,shree vardhman flora,sector 90,0.92,4907.0,3,4,3,Relatively New,1493.0,0,1,0,0,0,0,High,Mid Floor
flat,orchid petals,sector 49,4.52,10984.0,5,5,3+,Moderately Old,3724.0,1,1,0,1,0,0,Medium,High Floor
flat,dlf the icon,sector 43,5.25,20388.0,4,4,3,Old Property,2570.0,0,1,0,1,1,0,High,High Floor
flat,mapsko mount ville,sector 79,1.3,8725.0,3,3,3,Relatively New,1176.0,0,0,1,0,0,1,High,High Floor
flat,signature global city 63a,sector 63a,1.4,11336.0,2,2,2,Under Construction,1372.0,0,0,0,0,1,0,Low,Mid Floor
house,independent,sector 6,1.25,11574.0,5,5,1,New Property,120.0,0,0,0,1,0,0,Low,Low Floor
flat,sobha city,sector 108,3.25,15685.0,3,3,3,Relatively New,2072.0,0,0,0,0,0,0,High,High Floor
flat,signature global city 92,sector 92,0.99,9074.0,3,2,3,Under Construction,1091.0,0,0,0,0,0,0,Low,Low Floor
flat,godrej aria,sector 79,1.3,9623.0,2,4,2,Relatively New,1223.0,0,0,0,0,0,0,Medium,Mid Floor
house,independent,sector 46,5.5,23061.0,8,8,3+,Moderately Old,2385.0,1,0,0,0,1,1,Low,Mid Floor
house,independent,sector 17,7.2,15926.0,4,4,2,Old Property,4494.0,0,1,1,0,0,0,Low,Low Floor
flat,dlf regal gardens,sector 90,1.65,7449.0,4,4,3+,Relatively New,2214.0,0,0,0,0,0,0,High,High Floor
flat,piedmont taksila heights,sector 37,0.9,5856.0,3,3,3,Moderately Old,1537.0,0,0,0,0,0,1,High,High Floor
flat,sobha city,sector 108,1.9,13758.0,2,2,2,Relatively New,1250.0,0,0,0,0,0,0,Medium,High Floor
house,independent,sector 23,5.5,13095.0,9,9,3+,Moderately Old,4200.0,0,1,0,0,1,1,Low,Mid Floor
flat,dlf regal gardens,sector 90,1.25,8117.0,3,3,3,Relatively New,1640.0,0,0,0,1,0,0,High,High Floor
house,independent,sector 6,0.75,10519.0,6,4,1,Moderately Old,713.0,0,0,0,0,0,0,Medium,Mid Floor
flat,ambience creacions,sector 22,3.2,11498.0,3,4,3+,New Property,2517.0,0,0,0,0,0,0,Medium,Low Floor
flat,m3m woodshire,sector 107,1.8,7624.0,3,4,3+,Relatively New,1837.0,0,1,0,0,0,0,High,Low Floor
flat,ireo the corridors,sector 67a,1.8,9370.0,3,3,2,New Property,1551.0,1,0,1,0,0,1,High,Mid Floor
house,independent,sector 82,7.0,21605.0,4,4,3+,Relatively New,3240.0,1,1,0,1,0,1,Medium,Low Floor
flat,signature global solera 2,sector 107,0.5,8929.0,2,2,2,New Property,622.0,0,0,0,0,0,0,Low,High Floor
flat,dlf the primus,sector 82a,3.5,13431.0,5,5,3+,Relatively New,2896.0,1,0,0,0,0,2,Medium,High Floor
house,ansals palam vihar,sector 2,5.0,12500.0,6,4,0,Moderately Old,4000.0,0,0,0,0,0,0,Low,Mid Floor
