property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_score
flat,,,6.04,18470.95,0,0,0,0.0,New Property,3270.0,0,0,0,0,0,Unfurnished,15
flat,,,12.23,22350.15,0,0,0,0.0,New Property,5472.0,0,0,0,0,0,Unfurnished,15
flat,,,3.23,23071.43,0,0,0,0.0,New Property,1400.0,0,0,0,0,0,Unfurnished,15
flat,,,1.59,13718.72,0,0,0,0.0,New Property,1159.0,0,0,0,0,0,Unfurnished,15
flat,,,3.62,30166.67,0,0,0,0.0,New Property,1200.0,0,0,0,0,0,Unfurnished,15
flat,,,1.75,14583.33,0,0,0,0.0,New Property,1200.0,0,0,0,0,0,Unfurnished,15
flat,,,1.75,10937.5,0,0,0,0.0,New Property,1600.0,0,0,0,0,0,Unfurnished,15
flat,,,4.31,26937.5,0,0,0,0.0,New Property,1600.0,0,0,0,0,0,Unfurnished,15
flat,,,3.68,25860.86,0,0,0,0.0,New Property,1423.0,0,0,0,0,0,Unfurnished,15
flat,,,4.43,18731.5,0,0,0,0.0,New Property,2365.0,0,0,0,0,0,Unfurnished,15
flat,,,3.49,14362.14,0,0,0,0.0,New Property,2430.0,0,0,0,0,0,Unfurnished,15
flat,,,5.62,13862.85,0,0,0,0.0,New Property,4054.0,0,0,0,0,0,Unfurnished,15
flat,,,5.3,31323.88,0,0,0,0.0,New Property,1692.0,0,0,0,0,0,Unfurnished,15
flat,,,6.29,12497.52,0,0,0,0.0,New Property,5033.0,0,0,0,0,0,Unfurnished,15
flat,,,2.89,24083.33,0,0,0,0.0,New Property,1200.0,0,0,0,0,0,Unfurnished,15
flat,,,5.7,17251.82,0,0,0,0.0,New Property,3304.0,0,0,0,0,0,Unfurnished,15
flat,,,3.9,12380.95,0,0,0,0.0,New Property,3150.0,0,0,0,0,0,Unfurnished,15
flat,,,3.55,15468.41,0,0,0,0.0,New Property,2295.0,0,0,0,0,0,Unfurnished,15
flat,,,2.7,11739.13,0,0,0,0.0,New Property,2300.0,0,0,0,0,0,Unfurnished,15
flat,,,9.41,22884.24,0,0,0,0.0,New Property,4112.0,0,0,0,0,0,Unfurnished,15
flat,,,18.32,34500.94,0,0,0,0.0,New Property,5310.0,0,0,0,0,0,Unfurnished,15
flat,,,6.99,13442.31,0,0,0,0.0,New Property,5200.0,0,0,0,0,0,Unfurnished,15
flat,,,6.5,37313.43,0,0,0,0.0,New Property,1742.0,0,0,0,0,0,Unfurnished,15
flat,,,17.0,77272.73,0,0,0,0.0,New Property,2200.0,0,0,0,0,0,Unfurnished,15
flat,,,16.0,22707.92,0,0,0,0.0,New Property,7046.0,0,0,0,0,0,Unfurnished,15
flat,,,1.51,12326.53,0,0,0,0.0,New Property,1225.0,0,0,0,0,0,Unfurnished,15
flat,,,5.78,21407.41,0,0,0,0.0,New Property,2700.0,0,0,0,0,0,Unfurnished,15
flat,,,1.8,11180.12,0,0,0,0.0,New Property,1610.0,0,0,0,0,0,Unfurnished,15
flat,,,5.14,15742.73,0,0,0,0.0,New Property,3265.0,0,0,0,0,0,Unfurnished,15
flat,,,2.67,26700.0,0,0,0,0.0,New Property,1000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,21.72,21494.31,0,0,0,0.0,New Property,10105.0,0,0,0,0,0,Semi-Furnished,8
flat,,,14.73,66083.45,0,0,0,0.0,New Property,2229.0,0,0,0,0,0,Unfurnished,15
flat,,,9.48,24196.02,0,0,0,0.0,New Property,3918.0,0,0,0,0,0,Semi-Furnished,8
flat,,,9.49,24333.33,0,0,0,0.0,New Property,3900.0,0,0,0,0,0,Semi-Furnished,8
flat,,,5.45,33935.24,0,0,0,0.0,New Property,1606.0,0,0,0,0,0,Semi-Furnished,8
flat,,,7.5,37500.0,0,0,0,0.0,New Property,2000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.25,14166.67,0,0,0,0.0,New Property,3000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.5,21428.57,0,0,0,0.0,New Property,2100.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.2,26927.78,0,0,0,0.0,New Property,817.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.55,20400.0,0,0,0,0.0,New Property,1250.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.86,21500.0,0,0,0,0.0,New Property,400.0,0,0,0,0,0,Semi-Furnished,8
flat,,,11.05,29994.57,0,0,0,0.0,New Property,3684.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.5,16666.67,0,0,0,0.0,New Property,2100.0,0,0,0,0,0,Semi-Furnished,8
flat,,,12.8,42666.67,0,0,0,0.0,New Property,3000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,8.26,32987.22,0,0,0,0.0,New Property,2504.0,0,0,0,0,0,Unfurnished,15
flat,,,1.75,10542.17,0,0,0,0.0,New Property,1660.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.2,26250.0,0,0,0,0.0,New Property,1600.0,0,0,0,0,0,Semi-Furnished,8
flat,,,9.81,35672.73,0,0,0,0.0,,2750.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.8,18304.43,0,0,0,0.0,New Property,2076.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.0,20000.0,0,0,0,0.0,New Property,1000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,5.5,15714.29,0,0,0,0.0,New Property,3500.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.95,24006.91,0,0,0,0.0,New Property,2895.0,0,0,0,0,0,Semi-Furnished,8
flat,,,5.0,18518.52,0,0,0,0.0,,2700.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.1,14186.05,0,0,0,0.0,New Property,4300.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.95,18571.43,0,0,0,0.0,New Property,1050.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.77,15811.09,0,0,0,0.0,New Property,487.0,0,0,0,0,0,Furnished,15
flat,,,2.75,15277.78,0,0,0,0.0,New Property,1800.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.15,27447.09,0,0,0,0.0,New Property,1512.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.45,10469.31,0,0,0,0.0,New Property,1385.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.8,15000.0,0,0,0,0.0,New Property,1200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.05,15250.0,0,0,0,0.0,New Property,2000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.6,30000.0,0,0,0,0.0,New Property,2200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.45,16481.48,0,0,0,0.0,New Property,2700.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.71,8875.0,0,0,0,0.0,New Property,800.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.79,13984.96,0,0,0,0.0,New Property,1995.0,0,0,0,0,0,Semi-Furnished,8
flat,,,17.75,44375.0,0,0,0,0.0,New Property,4000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.49,19106.38,0,0,0,0.0,New Property,2350.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.75,21929.82,0,0,0,0.0,New Property,3078.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.0,16000.0,0,0,0,0.0,New Property,2500.0,0,0,0,0,0,Semi-Furnished,8
flat,,,15.25,46394.89,0,0,0,0.0,New Property,3287.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.0,23076.92,0,0,0,0.0,New Property,1300.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.1,19090.91,0,0,0,0.0,New Property,1100.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.34,7613.64,0,0,0,0.0,New Property,1760.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.5,14403.29,0,0,0,0.0,New Property,2430.0,0,0,0,0,0,Unfurnished,15
flat,,,6.5,29545.45,0,0,0,0.0,New Property,2200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.6,16842.11,0,0,0,0.0,,950.0,0,0,0,0,0,Unfurnished,15
flat,,,2.55,13421.05,0,0,0,0.0,New Property,1900.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.1,19523.81,0,0,0,0.0,New Property,2100.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.1,15261.63,0,0,0,0.0,New Property,1376.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.0,14634.15,0,0,0,0.0,,2050.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.76,18076.92,0,0,0,0.0,,2080.0,0,0,0,0,0,Semi-Furnished,8
flat,,,9.8,30625.0,0,0,0,0.0,,3200.0,0,0,0,0,0,Unfurnished,15
flat,,,2.75,15714.29,0,0,0,89.0,New Property,1750.0,0,0,0,0,0,Semi-Furnished,8
flat,,,9.15,19263.16,0,0,0,0.0,,4750.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.45,14471.54,0,0,0,0.0,,3075.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.51,8388.89,0,0,0,0.0,New Property,1800.0,0,0,0,0,0,Semi-Furnished,8
flat,,,5.47,21880.0,0,0,0,0.0,New Property,2500.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.95,21627.57,0,0,0,0.0,New Property,1364.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.68,12444.44,0,0,0,0.0,New Property,1350.0,0,0,0,0,0,Semi-Furnished,8
flat,,,5.87,41048.95,0,0,0,0.0,,1430.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.58,38705.88,0,0,0,0.0,,1700.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.95,18596.99,0,0,0,0.0,,2124.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.75,17441.86,0,0,0,0.0,New Property,2150.0,0,0,0,0,0,Semi-Furnished,8
flat,,,8.93,40590.91,0,0,0,0.0,New Property,2200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.4,19451.81,0,0,0,0.0,New Property,2262.0,0,0,0,0,0,Unfurnished,15
flat,,,4.74,30268.2,0,0,0,0.0,New Property,1566.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.1,15373.35,0,0,0,0.0,,1366.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.9,21081.08,0,0,0,0.0,,1850.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.05,14855.07,0,0,0,0.0,New Property,1380.0,0,0,0,0,0,Semi-Furnished,8
flat,,,16.8,49051.09,0,0,0,0.0,New Property,3425.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.53,35741.65,0,0,0,0.0,New Property,1827.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.0,13333.33,0,0,0,0.0,,3000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,21.0,43750.0,0,0,0,0.0,New Property,4800.0,0,0,0,0,0,Semi-Furnished,8
flat,,,8.82,35000.0,0,0,0,0.0,New Property,2520.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.19,17520.0,0,0,0,0.0,New Property,1250.0,0,0,0,0,0,Furnished,15
flat,,,3.57,16489.61,0,0,0,0.0,New Property,2165.0,0,0,0,0,0,Furnished,15
flat,,,11.52,26978.92,0,0,0,0.0,New Property,4270.0,0,0,0,0,0,Furnished,15
flat,,,6.3,21000.0,0,0,0,0.0,New Property,3000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.3,27741.94,0,0,0,0.0,New Property,1550.0,0,0,0,0,0,Unfurnished,15
flat,,,0.75,10000.0,0,0,0,0.0,,750.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.8,19512.2,0,0,0,0.0,New Property,1435.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.852,6085.71,0,0,0,0.0,New Property,1400.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.0,14084.51,0,0,0,0.0,,1420.0,0,0,0,0,0,Semi-Furnished,8
flat,,,8.25,15420.56,0,0,0,0.0,New Property,5350.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.8,12383.9,0,0,0,0.0,,646.0,0,0,0,0,0,Unfurnished,15
flat,,,15.0,68181.82,0,0,0,0.0,,2200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.06,15484.36,0,0,0,0.0,,2622.0,0,0,0,0,0,Unfurnished,15
flat,,,1.2,14117.65,0,0,0,0.0,New Property,850.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.8,12403.1,0,0,0,0.0,New Property,645.0,0,0,0,0,0,Unfurnished,15
flat,,,1.92,17454.55,0,0,0,0.0,,1100.0,0,0,0,0,0,Semi-Furnished,8
flat,,,9.0,32142.86,0,0,0,0.0,,2800.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.75,19709.54,0,0,0,0.0,,2410.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.69,12435.61,0,0,0,0.0,,1359.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.7,12000.0,0,0,0,0.0,New Property,2250.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.0,21857.92,0,0,0,0.0,,2745.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.57,10827.59,0,0,0,0.0,New Property,1450.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.53,17936.69,0,0,0,0.0,New Property,853.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.6,24757.8,0,0,0,0.0,,1858.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.6,16883.12,0,0,0,0.0,New Property,1540.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.9,16919.74,0,0,0,0.0,,2305.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.86,20428.57,0,0,0,0.0,New Property,1400.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.65,19761.37,0,0,0,0.0,New Property,1341.0,0,0,0,0,0,Furnished,15
flat,,,3.0,17647.06,0,0,0,0.0,New Property,1700.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.91,22342.86,0,0,0,0.0,New Property,1750.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.49,16555.56,0,0,0,0.0,New Property,900.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.2,21000.0,0,0,0,0.0,,2000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.25,20312.5,0,0,0,0.0,,1600.0,0,0,0,0,0,Unfurnished,15
flat,,,6.3,16746.41,0,0,0,0.0,New Property,3762.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.83,13465.78,0,0,0,0.0,,1359.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.4,44692.74,0,0,0,0.0,New Property,1432.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.44,22676.58,0,0,0,0.0,New Property,1076.0,0,0,0,0,0,Unfurnished,15
flat,,,1.86,18235.29,0,0,0,0.0,New Property,1020.0,0,0,0,0,0,Unfurnished,15
flat,,,3.29,9400.0,0,0,0,0.0,New Property,3500.0,0,0,0,0,0,Furnished,15
flat,,,1.95,14716.98,0,0,0,0.0,New Property,1325.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.8,12000.0,0,0,0,0.0,New Property,1500.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.95,13389.83,0,0,0,0.0,New Property,2950.0,0,0,0,0,0,Semi-Furnished,8
flat,,,21.0,22105.26,0,0,0,0.0,New Property,9500.0,0,0,0,0,0,Unfurnished,15
flat,,,5.75,17968.75,0,0,0,0.0,New Property,3200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.75,11627.91,0,0,0,0.0,,645.0,0,0,0,0,0,Semi-Furnished,8
flat,,,5.0,13157.89,0,0,0,0.0,New Property,3800.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.5,23076.92,0,0,0,0.0,New Property,1950.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.35,11739.13,0,0,0,0.0,New Property,1150.0,0,0,0,0,0,Unfurnished,15
flat,,,2.15,24970.96,0,0,0,0.0,New Property,861.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.85,16199.65,0,0,0,0.0,New Property,1142.0,0,0,0,0,0,Semi-Furnished,8
flat,,,12.31,68388.89,0,0,0,0.0,New Property,1800.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.5,17948.72,0,0,0,0.0,New Property,1950.0,0,0,0,0,0,Semi-Furnished,8
flat,,,6.0,15000.0,0,0,0,0.0,New Property,4000.0,0,0,0,0,0,Semi-Furnished,8
flat,,,10.2,34576.27,0,0,0,0.0,New Property,2950.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.715,5107.14,0,0,0,0.0,New Property,1400.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.6,11111.11,0,0,0,0.0,New Property,540.0,0,0,0,0,0,Unfurnished,15
flat,,,1.32,10232.56,0,0,0,0.0,New Property,1290.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.48,9866.67,0,0,0,0.0,New Property,1500.0,0,0,0,0,0,Furnished,15
flat,,,10.0,25641.03,0,0,0,0.0,,3900.0,0,0,0,0,0,Unfurnished,15
flat,,,1.52,12666.67,0,0,0,0.0,New Property,1200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,13.5,27000.0,0,0,0,0.0,New Property,5000.0,0,0,0,0,0,Unfurnished,15
flat,,,5.4,38989.17,0,0,0,0.0,New Property,1385.0,0,0,0,0,0,Unfurnished,15
flat,,,2.3,14438.17,0,0,0,0.0,New Property,1593.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.4,27200.0,0,0,0,0.0,New Property,1250.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.85,25839.1,0,0,0,0.0,New Property,1877.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.1,17714.29,0,0,0,0.0,New Property,1750.0,0,0,0,0,0,Unfurnished,15
flat,,,9.0,25000.0,0,0,0,0.0,New Property,3600.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.94,21888.89,0,0,0,0.0,New Property,1800.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.95,16250.0,0,0,0,0.0,New Property,1200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.0,16853.93,0,0,0,0.0,New Property,1780.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.3,37844.04,0,0,0,0.0,,872.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.9,12258.06,0,0,0,0.0,New Property,1550.0,0,0,0,0,0,Semi-Furnished,8
flat,,,10.6,16960.0,0,0,0,0.0,New Property,6250.0,0,0,0,0,0,Semi-Furnished,8
flat,,,10.62,27815.61,0,0,0,0.0,New Property,3818.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.8,16135.88,0,0,0,0.0,,2355.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.7,15697.92,0,0,0,0.0,,2357.0,0,0,0,0,0,Unfurnished,15
flat,,,3.9,20020.53,0,0,0,0.0,,1948.0,0,0,0,0,0,Unfurnished,15
flat,,,4.05,26061.78,0,0,0,0.0,New Property,1554.0,0,0,0,0,0,Unfurnished,15
flat,,,4.17,34750.0,0,0,0,0.0,New Property,1200.0,0,0,0,0,0,Unfurnished,15
flat,,,3.35,16543.21,0,0,0,0.0,New Property,2025.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.4,15209.13,0,0,0,0.0,New Property,1578.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.75,14097.74,0,0,0,0.0,New Property,2660.0,0,0,0,0,0,Unfurnished,15
flat,,,2.1,14925.37,0,0,0,0.0,New Property,1407.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.35,19772.73,0,0,0,0.0,New Property,2200.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.2,14736.84,0,0,0,0.0,New Property,2850.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.75,9490.24,0,0,0,0.0,New Property,1844.0,0,0,0,0,0,Furnished,15
flat,,,3.71,19608.88,0,0,0,0.0,New Property,1892.0,0,0,0,0,0,Unfurnished,15
flat,,,2.1,16030.53,0,0,0,0.0,,1310.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.48,14800.0,0,0,0,0.0,New Property,1000.0,0,0,0,0,0,Unfurnished,15
flat,,,6.65,39117.65,0,0,0,0.0,New Property,1700.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.85,20810.81,0,0,0,0.0,New Property,1850.0,0,0,0,0,0,Semi-Furnished,8
flat,,,0.45,12328.77,0,0,0,0.0,New Property,365.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.95,19696.97,0,0,0,0.0,New Property,990.0,0,0,0,0,0,Semi-Furnished,8
flat,,,9.0,37500.0,0,0,0,0.0,New Property,2400.0,0,0,0,0,0,Semi-Furnished,8
flat,,,4.99,22177.78,0,0,0,0.0,New Property,2250.0,0,0,0,0,0,Semi-Furnished,8
flat,,,2.9,10580.08,0,0,0,0.0,New Property,2741.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.8,23899.37,0,0,0,0.0,New Property,1590.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.83,18788.5,0,0,0,0.0,New Property,974.0,0,0,0,0,0,Semi-Furnished,8
flat,,,3.07,24599.36,0,0,0,0.0,New Property,1248.0,0,0,0,0,0,Semi-Furnished,8
flat,,,1.28,10078.74,0,0,0,0.0,New Property,1270.0,0,0,0,0,0,Unfurnished,15
