Canonical_Location,Variant_Count,All_Variants
Gurugram University,3,Gurugram University | Gurugram University Kankrola | Gurugram University Sector 87
Royal Institute Of Science,3,Royal Institute Of Science | Royal Institute Of Science & Management | Royal Institute Of Science and Mgt
Suncity School,3,"Suncity School | Suncity School Gurgaon | Suncity School, Sector 37D"
Ektaa Hospital,3,Ektaa Hospital | Ektaa Hospitals | Ektaa Hospitals  Main Sohna Rd
Vega School,3,Vega School | Vega Schools NH-8 | Vega Schools Sector 48
NH 8,3,"NH 8 | NH 8, Sector 15 Part 2 | NH8"
Newtown Square Mall,3,Newtown Square Mall | RELIANCE TRENDS Newtown Square Mall | Reliance Trends Newtown Square Mall
VATIKA BUSINESS PARK Sohna Rd,3,VATIKA BUSINESS PARK Sohna Rd | Vatika Business Park | Vatika Business Park Sector 49
Vatika Town Square,3,Vatika Town Square | Vatika Town Square-INXT | Vatika Town Square-INXT Mall
Manipal Hospital,3,"Manipal Hospital | Manipal Hospital, Gurugram | Manipal Hospital, Palam Vihar"
Delhi International Airport,2,Delhi International Airport | International Airport
DLF World Tech Park,2,DLF World Tech Park | World Tech Park
G D Goenka World School,2,G D Goenka World School | GD Goenka World School
Savoy Suites,2,"Savoy Suites | Savoy Suites, Manesar"
Amity University,2,Amity University | Amity University Gurugram
Sohna Rd,2,Sohna Rd | Sohna Road
Genesis Hospital,2,Genesis Hospital | Genesis Hospital Sector 84
DPS International School,2,DPS International School | RPS International School
Global Foyer Mall,2,"Global Foyer Mall | Global Foyer Mall,  Palam Vihar"
Sanjeevani Hospital,2,Sanjeevani Hospital | Sanjeevani Hospital - Child Specialist
Golden Greens Golf & Resorts,2,Golden Greens Golf & Resorts | Golden Greens Golf & Resorts Limited
Aman Hospital,2,Aman Hospital | Aman Hospital & Surgical Centre
Airia Mall,2,Airia Mall | Airia Mall Sector 68
Golf Course Rd,2,Golf Course Rd | Golf Course Road
Spaze Itech Park,2,"Spaze Itech Park | The Medicity, Spaze iTech Park"
DPS,2,DPS | DPS Sector 103
Sector 53 Metro Station,2,Sector 53 Metro Station | Sector 55 Metro Station
DPSG Palam Vihar,2,DPSG Palam Vihar | DPSG Palam Vihar Gurugram
Delhi Jaipur Highway,2,Delhi Jaipur Highway | NH-8 Delhi Jaipur Highway
Shopping complex,2,Shopping complex | Suncity Shopping Complex
DoubleTree by Hilton Hotel,2,DoubleTree by Hilton Hotel | DoubleTree by Hilton Hotel Gurgaon
Shiv Mandir,2,Shiv Mandir | shiv Mandir
Dwarka,2,Dwarka | Dwarka Sector 21
Signature Super Speciality Hospital,2,Signature Super Speciality Hospital | The Signature Super Speciality Hospital
ESIC HOSPITAL,2,ESIC HOSPITAL | ESIC Hospital
Delhi - Jaipur Expressway,2,Delhi - Jaipur Expressway | Delhi Jaipur Expressway
SGT UNIVERSITY,2,SGT UNIVERSITY | SGT University
Emerald Plaza,2,Emerald Plaza | Emerald Plaza Shopping Mall
