property_type,society,sector,price,built_up_area,price_per_sqft,bedRoom,bathroom,balcony,agePossession,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_category,floor_category
flat,Hercules Grace Resilviaa,sector 37,3.86,2495.0,15470.94,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Signature Sarvam Dxp,sector 63,10.0,3950.0,25316.46,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Dlf Arbour,sector 93,2.13,1438.0,14812.24,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Ashiana Amarah,sector 86,4.7,1571.0,29917.25,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Emaar Serenity Hills,sector ,2.35,1910.0,12303.66,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Forestia West I,sector 49,7.0,1731.0,40439.05,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Godrej Aristocrat,sector 59,8.13,1855.0,43827.49,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Conscient Elevate,sector 79,2.77,1405.0,19715.3,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Bestech Altura,sector 57,4.0,3500.0,11428.57,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,,sector ,1.97,1550.0,12709.68,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Signature Dax,sector 37,3.86,2495.0,15470.94,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Signature Sarvam Dxp,sector 49,18.1,7270.0,24896.84,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Elan Statement,sector 89,1.43,1105.0,12941.18,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Soulitude,sector 32,2.44,2315.0,10539.96,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Central Park Flam,sector 36,7.06,3531.0,19994.34,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,,sector 36,1.4,1439.0,9728.98,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Signature Park,sector 80,4.19,1521.0,27547.67,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Ashiana Aaroham,sector 37,3.86,2495.0,15470.94,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Signature Sarvam Dxp,sector 59,2.64,1390.0,18992.81,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Paras Floret,sector 69,6.04,3270.0,18470.95,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Smartworld Sky Arc,sector 76,12.23,5472.0,22350.15,5,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Dlf Privana North,sector 58,3.23,1400.0,23071.43,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Ireothe Grand Arch,sector 79,1.59,1159.0,13718.72,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Antalya Hills,sector 37,3.62,1200.0,30166.67,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 37,3.62,1200.0,30166.67,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 89,1.75,1200.0,14583.33,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,,sector 89,1.75,1600.0,10937.5,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,,sector 102,4.31,1600.0,26937.5,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 63,3.68,1423.0,25860.86,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Birla Navya Avik,sector 79,4.43,2365.0,18731.5,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Golf Hills,sector 65,3.49,2430.0,14362.14,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Emaar Emerald Hills,sector 76,5.62,4054.0,13862.85,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Whitelandthe Aspen,sector 106,5.3,1692.0,31323.88,4,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,Elan Presidential,sector 89,1.43,1105.0,12941.18,2,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,Low Floor
flat,M3M Soulitude,sector 103,6.29,5033.0,12497.52,5,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Oxirich Ch,sector 37,2.89,1200.0,24083.33,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 37,3.62,1800.0,20111.11,3,0,0,New Property,0,0,0,0,0,Unfurnished,Medium,High Floor
flat,,sector 113,5.7,3304.0,17251.82,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
flat,Smartworld One Dxp,sector 104,3.9,3150.0,12380.95,4,0,0,New Property,0,0,0,0,0,Unfurnished,High,Low Floor
