property_type,society,sector,price,built_up_area,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,study_room,servant_room,store_room,pooja_room,others,furnishing_type,luxury_score
flat, M3M Mar,37,1.84,1190.0,15462.18,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Signature Global City 37D,78,2.06,1587.0,12980.47,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Hercules Grace Resilviaa,37,3.86,2495.0,15470.94,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Signature Global Sarvam at DXP Estate,63,10.0,3950.0,25316.46,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, DLF The Arbour,93,2.13,1438.0,14812.24,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Ashiana Amarah Phase 4,86,4.7,1571.0,29917.25,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Emaar Serenity Hills,,2.35,1910.0,12303.66,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, M3M Forestia West I,49,7.0,1731.0,40439.05,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Godrej Aristocrat,59,8.13,1855.0,43827.49,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Conscient Elevate,79,2.77,1405.0,19715.3,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Bestech Altura,57,4.0,3500.0,11428.57,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, SRS Floors,,1.97,1550.0,12709.68,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Signature Global Dax,37,3.86,2495.0,15470.94,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Signature Global Sarvam at DXP Estate,49,18.1,7270.0,24896.84,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Elan The Statement,89,1.43,1105.0,12941.18,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, M3M Soulitude,32,2.44,2315.0,10539.96,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Central Park Flam,36,7.06,3531.0,19994.34,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Estate 360,36,1.4,1439.0,9728.98,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Signature Global Park,80,4.19,1521.0,27547.67,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Ashiana Aaroham,37,3.86,2495.0,15470.94,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Signature Global Sarvam at DXP Estate,59,2.64,1390.0,18992.81,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, Paras Floret,69,6.04,3270.0,18470.95,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Smartworld Sky ARC,76,12.23,5472.0,22350.15,5,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, DLF Privana North,58,3.23,1400.0,23071.43,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, Ireo The Grand Arch,79,1.59,1159.0,13718.72,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, M3M Antalya Hills Phase II,37,3.62,1200.0,30166.67,3,0,0,32.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, ,37,3.62,1200.0,30166.67,3,0,0,30.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, ,89,1.75,1200.0,14583.33,3,0,0,1.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, ,89,1.75,1600.0,10937.5,3,0,0,2.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, ,102,4.31,1600.0,26937.5,3,0,0,32.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, ,63,3.68,1423.0,25860.86,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, Birla Navya Avik Phase 2,79,4.43,2365.0,18731.5,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, M3M Golf Hills Phase 1,65,3.49,2430.0,14362.14,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Emaar Emerald Hills,76,5.62,4054.0,13862.85,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Whiteland The ASPEN,106,5.3,1692.0,31323.88,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Elan The Presidential,89,1.43,1105.0,12941.18,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, M3M Soulitude,103,6.29,5033.0,12497.52,5,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Oxirich Ch,37,2.89,1200.0,24083.33,3,0,0,31.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, ,37,3.62,1800.0,20111.11,3,0,0,32.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, ,113,5.7,3304.0,17251.82,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Smartworld One DXP,104,3.9,3150.0,12380.95,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, ATS Triumph,80,3.55,2295.0,15468.41,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Conscient PARQ,2,2.7,2300.0,11739.13,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.46153846153846156
flat, Ashiana Mulberry Phase 4,,2.25,1611.0,13966.48,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Ganga Kashi Residences ,103,9.41,4112.0,22884.24,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Whiteland Urban Resort,62,18.32,5310.0,34500.94,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Pioneer Araya,37,3.86,2495.0,15470.94,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Signature Global Sarvam at DXP Estate,36,7.06,3531.0,19994.34,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Estate 360,60,6.99,5200.0,13442.31,5,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Adani Samsara,89,1.43,1105.0,12941.18,2,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.23076923076923078
flat, M3M Soulitude,,6.5,1742.0,37313.43,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Max Estate 361,54,17.0,2200.0,77272.73,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, DLF The Crest,36,16.0,7046.0,22707.92,5,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, Krisumi Waterside Residences,36,1.51,1225.0,12326.53,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.3076923076923077
flat, SIGNATURE GLOBAL PARK I EXT,36,5.78,2700.0,21407.41,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Krisumi Waterfall Residency Phase III,5,1.8,1610.0,11180.12,3,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.38461538461538464
flat, Meffier Garden Residency,102,5.14,3265.0,15742.73,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.6153846153846154
flat, HCBS Tw,93,2.67,1000.0,26700.0,3,0,0,0.0,New Property,0,0,0,0,0,Semi-Furnished,0.2
flat, Ashiana Amarah,22,21.72,10105.0,21494.31,5,0,0,0.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Ambience Creacions,53,14.73,2229.0,66083.45,4,0,0,0.0,New Property,0,0,0,0,0,Unfurnished,0.5384615384615384
flat, Tulip Monsella,,9.48,3918.0,24196.02,4,0,0,0.0,New Property,0,1,0,0,0,Semi-Furnished,0.6615384615384615
flat, Phase 2 DLF,,9.49,3900.0,24333.33,4,0,0,2.0,New Property,0,1,0,0,0,Semi-Furnished,0.6615384615384615
flat, Phase 2 DLF,59,5.45,1606.0,33935.24,3,0,0,3.0,New Property,0,0,0,0,0,Semi-Furnished,0.27692307692307694
flat, Conscient Elevate,,7.5,2000.0,37500.0,5,0,0,0.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, South City 2 Gurgaon,,4.25,3000.0,14166.67,4,0,0,2.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, DLF City Plot Phase 2,43,4.5,2100.0,21428.57,4,5,0,1.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Sushant Lok-I,106,2.2,817.0,26927.78,2,0,0,10.0,New Property,0,0,0,0,0,Semi-Furnished,0.12307692307692308
flat, Godrej Meridien,23,2.55,1250.0,20400.0,3,3,2,2.0,New Property,0,0,0,0,0,Semi-Furnished,0.35384615384615387
flat, Cosmos Express 99,53,11.05,3684.0,29994.57,4,0,0,40.0,New Property,0,0,0,0,0,Semi-Furnished,0.5076923076923077
flat, Tulip Monsella,43,3.5,2100.0,16666.67,4,0,0,2.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
flat, Sushant Lok Builder Floors,65,12.8,3000.0,42666.67,3,0,0,3.0,New Property,0,0,0,0,0,Semi-Furnished,0.4307692307692308
